Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2015-01-02,24.237546920776367,24.705316407099893,23.798596738180272,24.694231148773138,212818400
2015-01-05,23.55473518371582,24.0867954226108,23.368515030357656,24.00698630220791,257142000
2015-01-06,23.55695915222168,23.816338020280458,23.19560061965636,23.61903255400942,263188400
2015-01-07,23.887279510498047,23.98704009408535,23.654502560296518,23.765348404892794,160423600
2015-01-08,24.805082321166992,24.8627226324375,24.097885309857276,24.21538332281689,237458000
2015-01-09,24.831689834594727,25.106587091638215,24.432644065198065,24.97800548912445,214798000
2015-01-12,24.21981430053711,24.96913151622689,24.12005372825121,24.962481036924252,198603200
2015-01-13,24.434856414794922,25.006821335803178,24.144440865044796,24.703103135568583,268367600
2015-01-14,24.34174346923828,24.494709555233538,24.053543652156318,24.173257344265455,195826400
2015-01-15,23.681095123291016,24.399375387571,23.64562534908306,24.386074433664586,240056000
2015-01-16,23.497100830078125,23.84959148289938,23.321964198866386,23.727660381621178,314053200
2015-01-20,24.102319717407227,24.157742637400762,23.610163917244932,23.907229956551088,199599600
2015-01-21,24.286331176757812,24.621084491650706,24.00256432432637,24.153314777559977,194303600
2015-01-22,24.918149948120117,24.9336683010407,24.324016064145017,24.443729797263913,215185600
2015-01-23,25.046728134155273,25.21742999298039,24.72527416557457,24.89597771577307,185859200
2015-01-26,25.07333755493164,25.352669644302715,25.006831042187788,25.215220145100528,222460000
2015-01-27,24.195430755615234,24.935881874965276,24.171044534562267,24.922579223516976,382274800
2015-01-28,25.56325912475586,26.186213701837968,25.56325912475586,26.07758359465284,585908400
2015-01-29,26.35914421081543,26.423435008591323,25.61869303244263,25.78717920277347,337745600
2015-01-30,25.9733943939209,26.602997864863603,25.90466883263632,26.248291564940033,334982000
2015-02-02,26.299278259277344,26.418991946089463,25.73396560037746,26.170698395403257,250956400
2015-02-03,26.303714752197266,26.401257928588027,26.07315523199289,26.27046066624386,207662800
