Date,Close,High,Low,Open,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2015-01-02,26.27894401550293,26.58910055297391,26.196068386511584,26.430298664187116,26480000
2015-01-05,25.77822494506836,26.201526888631296,25.693367301046194,26.159842033382823,41182000
2015-01-06,25.14203643798828,25.865071897808562,25.087944557186944,25.829838535819537,54456000
2015-01-07,25.068090438842773,25.38271265451361,24.993654009367308,25.355916600007745,46918000
2015-01-08,25.155431747436523,25.18470958416031,24.565388495888776,24.88745605812151,73054000
2015-01-09,24.848251342773438,25.239297689143015,24.745529031241983,25.218455261522696,42000000
2015-01-12,24.666627883911133,24.826419847589236,24.36143299477217,24.774809750376154,57138000
2015-01-13,24.901851654052734,25.239302164638946,24.676554626057374,24.94006277813234,60958000
2015-01-14,25.10679817199707,25.222425374457995,24.7212132549497,24.83336482637398,52800000
2015-01-15,25.011520385742188,25.296366913259128,24.912269913281328,25.25369009983225,51068000
2015-01-16,25.33160400390625,25.350956607495867,24.96586573078506,24.968843491270874,49658000
2015-01-20,25.305797576904297,25.58717227494788,25.277511692339537,25.446236936976952,46796000
2015-01-21,25.824377059936523,25.896829577862057,25.288425682594664,25.350456986840054,46356000
2015-01-22,26.663536071777344,26.739958306813506,25.89980780621493,25.953897786935475,56068000
2015-01-23,26.8942928314209,27.065995819308014,26.58661808424548,26.69976350422547,45966000
2015-01-26,26.63475799560547,26.871966059053122,26.40400143114213,26.871966059053122,30932000
2015-01-27,25.864076614379883,26.439231075430026,25.847699880264702,26.370748271898552,39148000
2015-01-28,25.429363250732422,26.087391490349304,25.425393534652653,26.053150086223937,35822000
2015-01-29,25.46906280517578,25.566327469471204,24.98521747991436,25.4526860708274,79018000
2015-01-30,26.675947189331055,26.951366378927414,25.714709797352825,25.75540270339148,121108000
2015-02-02,26.410449981689453,26.623837830082405,25.890379335094725,26.515654079262152,75378000
2015-02-03,26.465038299560547,26.67098080454053,26.142970716833847,26.29829697662218,47062000
2015-02-04,26.107736587524414,26.636242637507667,26.05463666846763,26.4570961940132,33896000
2015-02-05,26.29283905029297,26.33551586305348,26.08490884993802,26.198550251057004,33176000
2015-02-06,26.493820190429688,26.80844242635538,26.23428178666283,26.351396927233946,42938000
2015-02-09,26.265544891357422,26.4938196473041,26.179693395686797,26.35387627632108,30314000
2015-02-10,26.805465698242188,26.847150557367968,26.26008689830117,26.40796970983827,47430000
2015-02-11,26.698274612426758,26.894293773076562,26.59902414091422,26.784126109376253,38306000
2015-02-12,27.09576988220215,27.21139518440377,26.648647771859714,26.78064980729774,48590000
2015-02-13,27.351341247558594,27.419824054184307,27.12505039897322,27.17020899450773,47382000
2015-02-17,27.0461483001709,27.442652344719843,26.95930484104793,27.35134319142639,39174000
