Date,Close,High,Low,Open,Volume
,META,META,META,META,META
2015-01-02,77.90579223632812,78.38246582782209,77.16099495844173,78.03489528010238,18177500
2015-01-05,76.654541015625,78.70024852116858,76.32682838324084,77.43906175233103,26452200
2015-01-06,75.62176513671875,77.05177101052082,74.83724428977564,76.69427522442359,27399300
2015-01-07,75.62176513671875,76.82337071450117,75.29405245828599,76.22753430237772,22045300
2015-01-08,77.6376724243164,77.68732860924139,75.55224145745845,76.20765915494177,23961000
2015-01-09,77.20072937011719,78.0746298160812,76.66447434458584,77.65753752302075,21157000
2015-01-12,76.18779754638672,77.45891702377244,75.68133327520438,77.30002330086437,19190200
2015-01-13,75.91967010498047,77.53836778859728,75.32383376701954,76.6942656784468,25179600
2015-01-14,75.7508544921875,76.66447075521988,75.50258870920237,75.88988272454154,25918600
2015-01-15,73.53633117675781,76.0388470453841,73.02986683583829,75.87002812390118,34134000
2015-01-16,74.65847778320312,74.79750599920874,73.32776940311716,73.52638655203198,21791500
2015-01-20,75.71112060546875,75.78063471204902,74.30097297114341,75.19473118179657,22821600
2015-01-21,76.20765686035156,76.76377732418045,75.32383134588316,75.6316860455025,25096700
2015-01-22,77.11135864257812,77.2106634468297,76.1480861307489,76.63468497511127,19519500
2015-01-23,77.29010772705078,77.64761107153579,76.50558691979039,77.11135605480828,16746500
2015-01-26,76.96239471435547,77.92566718946722,76.75385236043499,77.43906836365275,19260800
2015-01-27,75.25431823730469,76.3466860990824,75.10535726150091,76.17786719552412,20110000
2015-01-28,75.71112060546875,77.10141031354374,75.4727876081177,76.36654581877086,53306400
2015-01-29,77.45893859863281,77.47879653129255,73.69522772421493,76.3169142706663,61293500
2015-01-30,75.3834228515625,77.61781480563216,75.22452912034522,77.45892107441489,42649500
2015-02-02,74.46980285644531,75.6118269844149,73.23840668245043,75.58203630240648,41955300
2015-02-03,74.87696075439453,75.0557124190321,73.34764264059986,74.66841840839577,26957700
2015-02-04,75.10535430908203,75.82036090365699,74.48966007878555,74.56909936315081,20277400
2015-02-05,75.08551788330078,75.4529540375276,74.68829104184753,75.18482269954613,15062600
2015-02-06,73.95341491699219,75.17487836393431,73.73493980902644,75.15502043433318,21211000
2015-02-09,73.92362213134766,74.31091614755246,72.94048417347045,73.53632811514285,16194300
2015-02-10,74.66841888427734,74.81737229203269,73.98320290272122,74.330773481601,15811300
2015-02-11,75.97926330566406,76.21759633892779,74.50952651818494,74.56910788238324,20877400
2015-02-12,75.70120239257812,76.33676216161093,75.36355700351503,76.32682940933758,17235000
2015-02-13,75.214599609375,75.9494717832188,74.97626657874832,75.92960627772548,18621900
2015-02-17,75.07556915283203,76.376486971171,74.55917967235953,74.77765476749144,25254400
2015-02-18,76.17787170410156,76.3665561230516,74.92661004035207,75.41321642854213,22426400
2015-02-19,78.86908721923828,79.28617199614804,76.41621960152744,76.45594304358626,45851200
2015-02-20,79.34574890136719,79.7826915447347,78.65060013558173,78.99817830670982,36931700
2015-02-23,78.2930908203125,79.63373206054715,77.83628270551343,79.40532421491254,24139100
2015-02-24,77.90579223632812,78.92865352885998,77.55822168860841,77.9554484187751,18897100
2015-02-25,79.00810241699219,79.643662231922,77.95545789410292,77.95545789410292,25593800
2015-02-26,79.85221862792969,80.80555842751542,79.16700256903601,79.32588874739801,31111900
2015-02-27,78.42220306396484,80.66652804449929,78.07463245505865,80.12034024731025,30739200
2015-03-02,79.19678497314453,79.30602252405271,77.97531398411236,78.45198762229991,21662500
2015-03-03,79.04783630371094,79.14714111733495,77.97532613303959,79.05776905801483,18635000
2015-03-04,80.33881378173828,80.58707957984225,78.30303120669738,78.74991418916706,28126700
2015-03-05,80.64665985107422,81.42124791839801,80.48777368221153,80.6665253574763,27825700
2015-03-06,79.4549789428711,80.7658219019586,79.27622728588325,80.33880447562487,24488600
2015-03-09,78.88893127441406,79.35567212108369,78.08454505030413,79.12726428547968,18925100
2015-03-10,77.01205444335938,78.71019161175653,77.01205444335938,77.95546145586746,23067100
2015-03-11,77.03190612792969,77.88594101960423,76.72405898435062,77.26031397980698,20215700
2015-03-12,78.3824691772461,78.50163947432937,77.36954816968334,77.558225002811,16093300
2015-03-13,77.50858306884766,78.8293513203505,77.14114697022076,78.05476326378579,18557300
2015-03-16,77.5284423828125,77.57809857254382,76.82336843215847,77.41920482658024,19305400
2015-03-17,78.80948638916016,79.22657106310672,77.79655780789562,77.8164233122569,22170000
2015-03-18,80.34874725341797,80.67645235172712,78.62081182810701,78.70025870256357,36912400
2015-03-19,82.17598724365234,82.42425306614072,80.43812648623371,80.55729680855792,42099500
2015-03-20,83.21870422363281,84.01315028579813,82.49376471014146,82.81154465030187,44466300
2015-03-23,83.84432220458984,84.37064446277752,82.7221635706514,83.33785787578994,27357300
2015-03-24,84.71821594238281,85.47294606706278,83.9336951350723,84.12237956035996,32576500
2015-03-25,82.34480285644531,84.9267657906744,82.34480285644531,84.90690785932544,37436100
2015-03-26,82.43417358398438,83.188896117259,81.57020592244177,82.14618436347017,32794800
2015-03-27,82.72216033935547,83.367645301597,82.30506807379889,82.80159963027408,18372600
2015-03-30,82.62284851074219,83.75493986083991,81.83833531364124,83.22861761974697,24527700
2015-03-31,81.64965057373047,82.92077014941438,81.63971782116316,82.32493379537134,19734300
2015-04-01,81.10346984863281,82.14618924080239,80.30902383331068,81.92771412423573,22058200
2015-04-02,80.99422454833984,81.98728765492163,80.87506182449098,81.67944051635175,19664100
2015-04-06,81.86812591552734,82.23555442043994,80.23950300726683,80.23950300726683,19062900
2015-04-07,81.74895477294922,82.84132267679522,81.64964997741235,82.07666741704409,17467000
2015-04-08,81.709228515625,82.52353993323763,81.27227833859921,82.05679907622735,18966700
2015-04-09,81.60000610351562,82.22564080508938,81.14319791394496,81.92771879705698,15927300
2015-04-10,81.47089385986328,82.03693949758815,81.34179839037158,81.63971276069161,12529700
2015-04-13,82.43417358398438,83.35772260960907,81.35173081884682,81.361663571684,26883100
2015-04-14,82.94063568115234,83.10946218439142,81.8681331761479,82.59306507413835,19634200
2015-04-15,82.1362533569336,83.0796679082906,81.6993031404537,82.97043035417062,22390900
2015-04-16,81.73902893066406,82.4937590781955,81.58014275966691,81.8979226781321,13769700
2015-04-17,80.21964263916016,81.54041848972851,79.81249067425709,80.91479141252441,24215000
2015-04-20,82.51361083984375,82.57319977892496,80.67644558679486,80.97436755278996,28796800
2015-04-21,83.03994750976562,83.90390764480587,82.96050063541429,83.41730879822806,27171900
2015-04-22,84.04293060302734,84.15216815427509,83.06973297105527,83.7350834548585,45548000
2015-04-23,81.83834075927734,84.9962744159682,81.83834075927734,83.5166123908853,73728100
2015-04-24,80.96443176269531,82.36465434328234,80.91478315453898,82.19582786143474,29660400
2015-04-27,81.34180450439453,82.35472556197014,81.06374046413751,81.30208107007209,25446000
2015-04-28,80.1203384399414,81.33187674348807,79.67346303521,81.26236262327494,23775300
2015-04-29,79.91179656982422,80.82541289151074,78.96838198803128,79.45498840898095,26430300
2015-04-30,78.22357940673828,80.39839008563872,77.77670402888194,79.45498314284404,28999000
2015-05-01,78.44204711914062,79.20670989994599,77.5681543746899,78.6903128782258,24136400
2015-05-04,78.2633056640625,79.13720609881658,78.08455399117832,78.77970275304821,14692000
2015-05-05,77.02198791503906,78.2533918747531,76.68435002627578,78.00512604720183,22311300
2015-05-06,77.55824279785156,78.26331683697627,76.51553087089464,77.42914729541073,28663000
2015-05-07,77.88593292236328,78.39239718371924,77.02196536787012,77.45891552091994,19749400
2015-05-08,77.96538543701172,78.68039207514468,77.48871181943304,78.5512890243056,19943600
2015-05-11,77.46885681152344,78.4817778694149,77.3894099428538,77.93559769436955,18874100
2015-05-12,76.92267608642578,77.34969357394253,76.25732554760026,77.32983564319642,21285300
2015-05-13,77.8958740234375,77.98524606806659,77.1113532447661,77.1808673605233,21512300
2015-05-14,80.80555725097656,81.28222335559349,78.12428200073963,78.39241331399887,49438000
2015-05-15,79.86213684082031,80.9545047923888,79.62380380582569,80.84527481605548,27069900
2015-05-18,80.31893157958984,80.81546307258638,79.67344669986981,79.77275148317526,21613700
2015-05-19,80.07067108154297,81.1233230676937,79.99123179557314,80.68637290074548,17955400
2015-05-20,79.99124145507812,80.53742165324869,78.90879865891739,79.91179458304471,23056900
2015-05-21,79.9217300415039,80.35867269953665,79.52450324436151,79.63374080298745,13402700
2015-05-22,79.98131561279297,80.7459709868906,79.69332635914101,79.7926311695279,19567900
2015-05-26,78.77970123291016,80.04088809536154,78.5314354462766,79.87206917880366,16321300
2015-05-27,79.99124145507812,80.10047901000638,78.87900797602255,79.0478268967405,14160900
2015-05-28,79.5940170288086,80.50763335484025,79.44505603345168,79.69332183355621,11982000
2015-05-29,78.64067840576172,79.51457130727034,78.33282365716839,79.39540099396284,16134600
2015-06-01,79.7330322265625,79.82240426327296,78.11434220222536,78.74990194039883,18119000
2015-06-02,79.88198852539062,80.78567189731032,79.00808825416274,79.20670539601875,18923300
2015-06-03,81.86812591552734,81.95749795948868,80.68637838001418,80.78568317657243,31775000
2015-06-04,81.48081970214844,82.37457031378727,80.94456478928362,81.57019173272465,20863900
2015-06-05,81.57020568847656,81.88798559012032,80.94457863799774,81.30208197440578,16143100
2015-06-08,80.11041259765625,81.43118857211816,79.57415751983402,81.25243687951075,16915500
2015-06-09,80.11041259765625,80.62680974362057,78.76977869133641,80.04089847144623,16497500
2015-06-10,81.59007263183594,82.02701526900165,80.24943130844638,80.26929681441382,21531200
2015-06-11,81.26235961914062,82.32493688967148,80.79561872504819,81.73902568970313,18656800
2015-06-12,80.96443176269531,81.5205446634544,80.6367191276894,80.80554560953702,11417900
2015-06-15,80.1501235961914,80.36859869507244,79.51456380479404,79.99123743657724,18805100
2015-06-16,80.4977035522461,80.94458655469832,79.89193437166753,80.25937049682098,13693700
2015-06-17,81.2226333618164,81.64965080578041,80.77575041266134,81.19284268050014,18350300
2015-06-18,82.33487701416016,82.61293350962812,81.00416833038607,81.07368245425306,26782600
